upazila,Predominant_Soil_Region,General_Bearing_Capacity_kN_m2,Building_Suitability,Key_Considerations,Latitude,Longitude
Nandail,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.5501859979289,90.6771518447823
Nandigram,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.6812751175115,89.2267938043152
Nangalkot,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.1401262279759,91.2092986678919
Naniarchar,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.8217870745511,92.0693762088841
Naogaon Sadar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.8110493176067,88.8981693250886
Narail Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.1545372257862,89.4948885232544
Narayanganj Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.6274689326204,90.4810612566982
Naria,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.3046592850597,90.4273863462873
Narsingdi Sadar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.8665697471497,90.7080966271849
Nasirnagar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.1822401723539,91.1875248095954
Natore Sadar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.4432783915446,88.9840478635321
Nawabganj,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.6734131777272,90.1606837135204
Nawabganj,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,25.4204189586824,89.0917016148348
Nawabganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,23.6734131777272,90.1606837135204
Nawabganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.4204189586824,89.0917016148348
Nawabganj Sadar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.5650061645911,88.2579131099959
Nazirpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.7703212551348,89.9743774891328
Nesarabad (Swarupkati),Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.7225454950105,90.085677803803
Netrokona Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.8867317568874,90.7373697390694
New Market,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7355636549543,90.380881202821
Niamatpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.8284246411655,88.5515062789006
Nikli,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.3367724749826,90.963108501986
Nilphamari Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.9416487683992,88.8549001814946
Noakhali Sadar (Sudharam),Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.8023622276144,91.0605952117432
Paba,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.4056498810228,88.5994441531232
Pabna Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.9936754423255,89.2815162003004
Pahartali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3596496081915,91.7727681108247
Paikgachha,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.5905418640229,89.3402974003026
Pakundia,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.3206810157844,90.6926828340637
Palash,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.9537986705893,90.6492907555358
Palashbari,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.2636209841162,89.3967789638513
Pallabi,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8254056050166,90.3681591312563
Paltan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.734936506379,90.4137962187233
Panchagarh Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.3674798182152,88.5817486899946
Panchbibi,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.2021722579654,89.0703043807145
Panchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,23.3197535954858,91.9101414821192
Panchlaish,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3734569271698,91.8286483375995
Pangsha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.7878947132981,89.3868024735516
Parbatipur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.6187425611169,88.9255993905199
Parshuram,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.2013700770578,91.4397029063811
Patenga,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.2629456724821,91.7958578030161
Patgram,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.3399590718836,89.0240176828447
Patharghata,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.0947301640138,89.9661995033762
Patiya,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.2921164674049,91.9638387773819
Patnitala,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.0753929163483,88.7165182084637
Patuakhali Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3358274436163,90.3289215813453
Pekua,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",21.8181667753295,91.9527794890476
Phulbari,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.9494607012275,89.5705273474506
Phulpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.908522016723,90.4064944898111
Phultala,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.9565990353569,89.4418507802901
Pirgachha,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.665071875154,89.420068865152
Pirganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.4236981023351,89.2742974902777
Pirganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.8410849960614,88.3679028192949
Pirganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.4236981023351,89.2742974902777
Pirganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.8410849960614,88.3679028192949
Pirojpur Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.6087414380964,89.9810793378645
Porsha,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.9922018385618,88.5176850737957
Purbadhala,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.9338180482519,90.6019801659671
Puthia,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.4109767584243,88.8273250383221
Rajapur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.5507368700207,90.1311049790459
Rajarhat,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.7860922908219,89.5423636299797
Rajasthali,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.3784997298095,92.2417001985812
Rajbari Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.7174556993557,89.6541195730992
Rajnagar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.5652543852541,91.8608584010163
Rajoir,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.2013350497409,90.036938298566
Rajpara,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.377127927636,88.5672396120236
Ramganj,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.0989290137246,90.8725774279997
Ramgarh,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.9349927397541,91.831200452137
Ramgati,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.6450692391668,90.9453569142808
Ramna,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7481876888218,90.4060062431021
Rampal,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.5913512349397,89.6521992771093
Rampura,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7609092045534,90.4207451446899
Ramu,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",21.4407281709811,92.1209980224805
Rangamati Sadar,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.6365796410677,92.1989095208954
Rangpur Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.7458894407938,89.2123503349324
Rangunia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.4649634407579,92.0665969492673
Raninagar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.7107650128505,89.0218456613999
Ranisankail,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.9400644264593,88.2458188889687
Raozan,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.5207585819619,91.9169103957462
Raumari,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.5914291841223,89.827539497011
Rowangchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.2093319308802,92.3399069261733
Royganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.4922149777725,89.5156736301329
Roypur,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.999852413858,90.7309597698986
Roypura,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.960021333641,90.8719656100634
Ruma,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.0126386651457,92.4292698364161
Rupganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.8127112639234,90.5387733884249
Rupsa,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8200929708429,89.6361535955877
Sabujbagh,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7346727931725,90.4420839507059
Sadarpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.4958536499256,90.0525018815681
Sadullapur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.3947221013286,89.4263644786213
Saghatta,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.123325923225,89.5638027178719
Saidpur,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.8028935633301,88.922028686824
Sakhipur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.3065857972376,90.1728997170697
Saltha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.4200256662221,89.79965600949
Sandwip,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.5247295898697,91.4535100958239
Santhia,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.042191943069,89.5168214201951
Sapahar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.1181489051428,88.5302565194161
Sarail,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.1032796874244,91.1121999972696
Sarankhola,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.1103816665232,89.8081409553078
Sariakandi,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.8811202514917,89.6140051438515
Sarishabari,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,24.718481793644,89.8304695391879
Satkania,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.1051587475465,92.0595161075904
Satkhira Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.7209277666322,89.038652662355
Saturia,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.9575362075111,90.0016558150273
Savar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8810225566887,90.280780218716
Senbagh,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.9924292266476,91.2121157378712
Serajdikhan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.5976594145099,90.3564921605729
Shah Ali,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8118939043665,90.3473939802475
Shah Makhdum,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.4029443934671,88.6085815008228
Shahbagh,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.732476974705,90.3991444715388
Shahjadpur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,24.1627775963019,89.6301144532052
Shahrasti,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.2086744919711,90.9569717681766
Shailkupa,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.663387569382,89.2421817685671
Shajahanpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.7600761225993,89.3749330074543
Shalikha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.348109495295,89.3585379109444
Shariatpur Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.21607000832,90.3158778110901
Sharsha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.0448933822163,88.9407345677413
Sher-e-bangla Nagar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7699761744282,90.3758747164455
Sherpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.6290995479643,89.4223784723255
Sherpur Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.9929093363451,90.0198870101765
Shib Char,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.3754282909392,90.1742332884707
Shibalaya,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8383027122985,89.810164829619
Shibganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.0164892706858,89.3067034898434
Shibganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.704385977816,88.1547933625769
Shibganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.0164892706858,89.3067034898434
Shibganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.704385977816,88.1547933625769
Shibpur,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.0259753045916,90.7453271347405
Shyamnagar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.0687583971934,89.1793042074804
Shyampur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.6971121422151,90.4300677232163
Singair,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.783308903884,90.1543501476441
Singra,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.5241245692181,89.1860242046513
Sirajganj Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.4941069163965,89.6884800474561
Sitakunda,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.5588468823114,91.6828611059064
Sonadanga,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.819876005063,89.5422166916909
Sonagazi,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.8610667541389,91.3955401199123
Sonaimuri,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.0262759710707,91.0777052983507
Sonargaon,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.675566810045,90.593329595264
Sonatola,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.9969729059607,89.5140050714698
Sreebardi,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,25.1656340533889,89.95490812568
Sreemangal,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.3010225920525,91.6979578326053
Sreenagar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.5469372444916,90.2632251486774
Sreepur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.2051706279517,90.443113247704
Sreepur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.5962628259127,89.4244698200674
Sreepur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.2051706279517,90.443113247704
Sreepur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.5962628259127,89.4244698200674
Subarnachar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.6201421345544,91.1515853946259
Sujanagar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.8966676857976,89.5127482272196
Sulla,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.6863134925649,91.2570740615767
Sunamganj Sadar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",25.0507740933946,91.3954415184311
Sundarganj,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.5100443896747,89.5639354964442
Sutrapur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.713812858475,90.4173573493919
Sylhet Sadar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.9412718202074,91.8474376528189
Tahirpur,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",25.1281108003634,91.1633652820418
Tala,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.7400173940232,89.2105972568924
Tangail Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.2564098003109,89.8661272884572
Tanore,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.6202410126563,88.5310822015425
Taraganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.7806367462743,89.0332602416023
Tarail,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.550174851353,90.8907451002912
Tarash,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.4431551047151,89.358125069528
Tazumuddin,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.4388693041602,90.8578775000627
Tejgaon,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7628366629538,90.3916942030326
Tejgaon Ind. Area,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7643403219981,90.402968045711
Teknaf,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",20.9921554801302,92.2236905914957
Tentulia,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.5135283806534,88.4298644338314
Terokhada,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.9126201289308,89.6543377333612
Thakurgaon Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.0706368746362,88.4644524389111
Thanchi,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,21.6370431266304,92.5310251543719
Titas,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.5895897432736,90.7969932569146
Tongibari,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.47600915465,90.4526388431179
Trishal,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.5638327175124,90.4094092716658
Tungi Para,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.9254289325789,89.9044465718508
Turag,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8599759762886,90.3666546516889
Ukhia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",21.2292867111579,92.115938635182
Ulipur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.6890914907935,89.6689077777013
Ullah Para,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.3273399535596,89.5180911696362
Uttar Khan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8746349069187,90.4448204632902
Uttara,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8721602424199,90.394111381482
Wazirpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8655834048755,90.1660449414292
Zakiganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.9261198898878,92.3672159182535
Zanjira,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.3655064937381,90.318181081535
Zianagar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.4655005160524,89.9342781769972
