upazila,Predominant_Soil_Region,General_Bearing_Capacity_kN_m2,Building_Suitability,Key_Considerations
Tongibari,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Trishal,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Tungi Para,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Turag,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Ukhia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Ulipur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Ullah Para,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Uttar Khan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Uttara,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Wazirpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Zakiganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Zanjira,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Zianagar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
